month,urban_unemployment_rate,period
202201,5.3,2022-01
202202,5.5,2022-02
202203,5.8,2022-03
202204,6.1,2022-04
202205,5.9,2022-05
202206,5.5,2022-06
202207,5.4,2022-07
202208,5.3,2022-08
202209,5.5,2022-09
202210,5.5,2022-10
202211,5.7,2022-11
202212,5.5,2022-12
202301,5.6,2023-01
202302,5.6,2023-02
202303,5.3,2023-03
202304,5.2,2023-04
202305,5.2,2023-05
202306,5.2,2023-06
202307,5.3,2023-07
202308,5.2,2023-08
202309,5.0,2023-09
202310,5.0,2023-10
202311,5.0,2023-11
202312,5.1,2023-12
202401,5.2,2024-01
202402,5.3,2024-02
202403,5.2,2024-03
202404,5.0,2024-04
202405,5.0,2024-05
202406,5.0,2024-06
202407,5.2,2024-07
202408,5.3,2024-08
202409,5.1,2024-09
202410,5.0,2024-10
